LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal
LRP003c,3.31,Bridge,Bridge end,22.9734993,91.1011389
LRP004,3.36,Km Post,Ramgonj 34 km,22.9739716,91.1009722
LRP004a,4.028,Bridge,Bridge Start,22.9796938,91.0990552
LRP004b,4.042,Bridge,Bridge End,22.9798049,91.0989997
LRP005,4.32,Km Post,Ramgonj 33 km,22.9822216,91.0990552
LRP005a,4.99,Bridge,Bridge Start,22.9879163,91.0974441
LRP005b,4.993,Bridge,Bridge End,22.9879719,91.0974163
LRP006,5.38,Km Post,Ramgonj 32 km,22.991333,91.0965552
LRP006a,6.05,Bridge,Bridge Start,22.9973052,91.0959997
LRP006b,6.058,Bridge,Bridge End,22.9973886,91.0959997
LRP007,6.39,Km Post,Ramgonj 31 km,23.0003611,91.0959441
LRP007a,7.08,Bridge,Bridge Start,23.0063889,91.0953052
LRP007b,7.094,Bridge,Bridge End,23.0064444,91.0952497
LRP008,7.384,Km Post,Ramgonj 30 km,23.00875,91.0938886
LRP008a,8.21,Bridge,Bridge Start,23.0161111,91.0946386
LRP008b,8.221,Bridge,Bridge End,23.0161944,91.0946663
LRP009,8.4,Km Post,Dhaka 142 km,23.0178327,91.0947219
LRP009a,8.923,Bridge,Bridge start,23.0224438,91.0949163
LRP009b,9.412,Bridge,Bridge End,23.0225827,91.0949441
LRP010,9.703,Km Post,"Dhaka 141 km,Ramgonj 28 km",23.0267493,91.0956663
LRP010a,9.943,Culvert,Box culvert,23.0293882,91.0957774
LRP011,10.41,Km Post,Km post missing,23.0354163,91.0963886
LRP011a,10.411,"Side Road, Right",Side road right R-141,23.0356941,91.0963886
LRP011b,10.733,"Side Road, Right",Side road right to Grirhat,23.0383886,91.0961941
LRP011c,10.812,Bridge,Bridge Start,23.039083,91.0959719
LRP011d,10.822,Bridge,Bridge End,23.0391663,91.0959441
LRP011e,11.293,Culvert,Box culvert,23.0433886,91.0954163
LRP012,11.522,Km Post,Ramgonj 26 km,23.0454163,91.0951663
LRP013,12.504,Km Post,Ramgonj 25 km,23.0514167,91.0889163
LRP014,13.504,Km Post,Km post missing,23.0575278,91.0816382
LRP014a,14.141,Bridge,Bridge Start,23.0599444,91.0762771
LRP014b,14.177,Bridge,Bridge End,23.0599722,91.0759438
LRP015,14.374,Km Post,Inforrmation missing,23.06025,91.0731104
LRP016,15.47,Km Post,Km post broken,23.0611111,91.0636667
LRP016a,16.24,Bridge,Bridge start,23.0618333,91.056
LRP016b,16.25,Bridge,Bridge End,23.0618611,91.0559167
LRP017,16.725,Km Post,Km post missing,23.0623056,91.0547222
LRP017a,17.38,Culvert,Culvert,23.0629444,91.0449997
LRP018,17.47,Km Post,Km post missing,23.0631111,91.0416663
LRP019,18.47,Km Post,Km post missing,23.0643056,91.034333
LRP020,19.47,Km Post,km post missing,23.0642778,91.0246104
LRP021,20.41,Km Post,Ramganj 17 km,23.0641667,91.0155556
LRP022,21.36,Km Post,Ramganj 16 km,23.0614722,91.0073056
LRP022a,22.22,Bridge,Bridge Start,23.06,90.9990552
LRP022b,22.25,Bridge,Bridge End,23.06,90.9988886
LRP023,22.36,Km Post,Ramganj 15 km,23.0599167,90.997833
LRP023a,22.86,Culvert,Box culvert,23.0596389,90.9928608
LRP024,23.39,Km Post,Ramgonj 14 km,23.0594444,90.987833
LRP024a,23.47,"Side Road, Right",Z-1430 to Chitoshi.,23.0593889,90.9871108
LRP024b,23.632,"Side Road, Left",Z 1426 to Chandraganj.,23.0593611,90.9855552
LRP024c,23.902,Culvert,Box culvert,23.0598889,90.9830549
LRP025,24.4,Km Post,Ramganj 13 km,23.061,90.9783882
LRP025a,25.174,"Side Road, Left",Z-1510 to Dattapara,23.0626944,90.9711104
LRP025b,25.224,"Side Road, Right",Z-1417 Ranirhat,23.06275,90.9705549
LRP026,25.38,Km Post,Ramgonj 12 km,23.0626389,90.9690271
LRP026a,26.23,Culvert,Box culvert,23.0621111,90.9608889
LRP027,26.38,Km Post,Information missing,23.06225,90.9594444
LRP028,27.34,Km Post,Ramgonj 10 km,23.0642778,90.9502778
LRP028a,27.754,Culvert,Box culvert,23.0650556,90.9464441
LRP029,28.34,Km Post,Ramgonj 9 km,23.0660833,90.9407219
LRP029a,29.212,"Side Road, Right",Z-1436 to Paniwala bazar,23.0676104,90.9325549
LRP030,29.34,Km Post,Km post missing,23.0679438,90.930916
LRP030a,30.222,Culvert,2 v- Box culvert,23.0693604,90.922916
LRP031,30.34,Km Post,Km post missing,23.069666,90.9212493
LRP031a,30.72,Others,Noakhali RHD start,23.0701382,90.9190271
LRP031a,30.72,Others,Noakhali RHD start,23.0701382,90.9190271
LRP032,31.34,Km Post,Km post missing,23.071416,90.9123889
LRP032a,32.0,Culvert,Box culvert,23.0762493,90.9081667
LRP033,32.3,Km Post,Ramgonj 5 km,23.0782771,90.9066667
LRP034,33.3,Km Post,Ramgonj 4 km,23.0825549,90.898333
LRP034a,33.424,Culvert,Box culvert,23.0831938,90.8974997
LRP034b,34.045,Culvert,2 v- box culvert,23.0867774,90.8928608
LRP035,34.3,Km Post,Km post missing,23.087083,90.8902219
LRP036,34.36,Km Post,Ramgonj 2 km,23.0881108,90.8807771
LRP036a,35.3,Bridge,Bridge Start,23.0881108,90.8807771
LRP036b,35.32,Bridge,Bridge End,23.0881663,90.8806104
LRP036c,36.256,Culvert,Box culvert,23.0926663,90.8730271
LRP037,36.3,Km Post,Km post missing,23.0928052,90.8728049
LRP037a,36.912,Culvert,Box culvert,23.0958608,90.8677771
LRP038,37.3,Km Post,Km post missing,23.0975552,90.8644722
LRP038a,37.712,Culvert,Box culvert,23.0992497,90.8611111
LRPE,37.72,Others,"Road end with Z1422 at Ramgonj CNG Stand ,Ramganj.",23.0992774,90.8609444
,,,,,
,,,,,
LRPS,0.0,Others,Road start from N 104 at old college road Maijdi,22.883333,91.0971386
LRP001,1.06,Km Post,Choyani 9 km,22.8864163,91.0888052
LRP001a,1.61,Culvert,Box Culvert,22.8867497,91.083583
LRP001b,1.8,Culvert,Box Culvert,22.8870552,91.0818882
LRP002,2.025,Km Post,Info missing,22.8869997,91.0796938
LRP002a,3.035,Culvert,Box Culvert,22.8876108,91.0698604
LRP003,3.06,Km Post,Chayani 7 km,22.8876108,91.0696104
LRP003a,3.558,Culvert,Box Culvert,22.8882219,91.0648889
LRP004,4.06,Km Post,Km post missing,22.8887219,91.0604167
LRP004a,4.2,Culvert,Box Culvert,22.888083,91.0594167
LRP004b,4.398,Culvert,Box Culvert,22.887333,91.0579722
LRP005,4.635,Km Post,Chayani 5 km,22.8869997,91.05575
LRP005a,4.712,Culvert,Box Culvert,22.8869997,91.0550833
LRP006,5.935,Km Post,Chayani 4 km,22.8939719,91.0471941
LRP006a,6.03,Culvert,Box Culvert,22.8939997,91.0463052
LRP006b,6.403,Culvert,Box Culvert,22.8941108,91.0426941
LRP007,6.935,Km Post,Km post missing,22.8954163,91.0376941
LRP007a,7.68,Culvert,Box Culvert,22.8958886,91.0305271
LRP008,7.925,Km Post,Choyani 2 km,22.8962774,91.028166
LRP008a,8.275,Culvert,Box Culvert,22.8969163,91.0248049
LRP009,8.955,Km Post,Choyani 1 km,22.8983886,91.0185271
LRP009a,9.42,Culvert,Box Culvert,22.8977774,91.0143056
LRP010,9.9,Km Post,Info missing,22.8977774,91.0096944
LRP010a,10.14,Culvert,Box Culvert,22.8977497,91.0073611
LRP011,10.86,Km Post,Bosur 5 km,22.897583,91.0005
LRP011a,11.515,Bridge,Bridge start,22.8969163,90.9944441
LRP011b,11.548,Bridge,Bridge end,22.8968052,90.9941386
LRP012,11.76,Km Post,Info missing,22.8963886,90.9921941
LRP012a,12.853,Others,Laxmipur RHD Start (East Bashurhat More),0.0,0.0
LRP012a,12.853,Others,Laxmipur RHD Start (East Bashurhat More),0.0,0.0
LRP013,12.86,Km Post,Chandraganj 8 km,22.8974997,90.9815271
LRP013a,12.924,Culvert,Box Culvert,22.8976663,90.9809716
LRP013b,13.644,Culvert,Box Culvert,22.8979163,90.9740271
LRP014,13.835,Km Post,Km post broken,22.8981941,90.9722771
LRP014a,14.04,Culvert,Box Culvert,22.8984163,90.9703049
LRP015,14.835,Km Post,Chandraganj 6 km,22.9018889,90.9650833
LRP015a,15.315,Culvert,Box Culvert,22.9061667,90.9648333
LRP016,15.445,Km Post,Chandraganj 5 km,22.9072778,90.9646389
LRP016a,15.62,Bridge,Bridge start,22.9083889,90.9640833
LRP016b,15.65,Bridge,Bridge end,22.9086389,90.9639722
LRP016c,16.235,Culvert,Box Culvert,22.9123889,90.966916
LRP017,16.445,Km Post,Chandraganj 4 km,22.9140833,90.9674716
LRP017a,16.465,Culvert,Box Culvert,22.9142222,90.9675271
LRP018,17.445,Km Post,Info missing,22.9220827,90.9715271
LRP018a,17.535,Culvert,Box Culvert,22.9226938,90.9720549
LRP019,18.445,Km Post,Info missing,22.926416,90.9778327
LRP019a,19.155,Culvert,Box Culvert,22.9325549,90.9791382
LRP020,19.445,Km Post,Chandraganj 1 km,22.9351663,90.9794716
LRP020a,20.15,Bridge,Bridge start,22.9736104,90.9805549
LRP020b,20.166,Bridge,Bridge end,22.940583,90.9806104
LRPE,20.26,Others,Road end with R 140 at Chandraganj,22.9413886,90.9805827
,,,,,
,,,,,
LRPS,0.0,Others,Road start R 141 left at Laksam model collage road,23.25,91.1203604
LRPSa,0.24,"Turn off, Right",Road right turn,23.2494719,91.1224716
LRPSb,0.68,Culvert,Box Culvert,23.2456941,91.1215549
LRPSc,0.78,Others,Conkeet with R 141 right,23.2451386,91.1211104
LRPSd,0.8,Rail Road Crossing,Rail y inf at laksam,23.244583,91.1213882
LRP001,1.0,Km Post,Km post missing,23.2429719,91.1204993
LRP001a,1.5,"Turn off, Left",Road left turn,23.2373052,91.1193049
LRP001b,1.68,Rail Road Crossing,Rail crossing Noakhali tracu,23.2373608,91.1202493
LRP002,2.0,Km Post,Km post missing,23.236083,91.1202216
LRP002a,2.55,Bridge,Bridge start,23.2313882,91.120416
LRP002b,2.56,Bridge,Bridge end,23.2313604,91.120416
LRP002c,2.57,Cross Road,Right Monoharganj,23.2313049,91.1204993
LRP003,3.0,Km Post,Km post missing,23.227916,91.1223882
LRP003a,3.22,Bridge,Bridge start,0.0,91.1232493
LRP003b,3.242,Bridge,Bridge end,23.2260827,91.1233882
LRPE,3.38,Others,"Road connect with R141, end of road.",23.2248882,91.1239438
,,,,,
,,,,,
LRPS,0.0,Others,Road start from R140 North Trimohoni,22.9443052,90.8282216
LRPSa,0.67,Bridge,Bridge start,22.9374719,90.8290271
LRPSb,0.7,Bridge,Bridge End,22.9371108,90.8291382
LRPSc,0.705,"Side Road, Right",Right R 147 Start,22.9369997,90.8291382
LRP001,1.0,Km Post,Km post missing,22.9359997,90.8295827
LRPE,1.4,Others,South Trimohoni to Z 1405,22.9326938,90.8332771
,,,,,
,,,,,
LRPS,0.0,Others,,0.0,0.0
LRPE,1.7,Others,,0.0,0.0
,,,,,
,,,,,
LRPS,0.0,Others,Road start from Lakshmipur town Bridge(Tero baki),22.9369997,90.8291382
LRP001,1.0,Km Post,Kmpost missing,22.9336663,90.8213604
LRP001a,1.835,Bridge,Bridge stars,22.9323604,90.8140556
LRP001b,1.885,Bridge,Bridge End,22.9326938,90.81375
LRP002,2.0,Km Post,Km post missing,22.9327493,90.8126389
LRP002a,2.065,Culvert,Box Culvert,22.932666,90.812
LRPE,2.205,Others,"Road end with N 809 at Kacharibari,Tero baki",22.9325549,90.8106667
,,,,,
,,,,,
LRPS,0.0,Others,Road start from N1 at Baraiyerhat.,22.8940552,91.5346941
LRPSa,0.135,Rail Road Crossing,Rail crossing at Bhut more,22.8946941,91.5357219
LRPSb,0.252,Culvert,Box Culvert,22.8952774,91.5365274
LRP001,0.93,Km Post,Info missing,22.9001111,91.5396108
LRP001a,0.95,Culvert,Box Culvert,22.90025,91.5396941
LRP001b,1.305,Culvert,Box culvert,22.9034444,91.5401108
LRP002,1.93,Km Post,Km post missing,22.9089722,91.5402497
LRP002a,2.182,Culvert,Box culvert,22.9111667,91.5406941
LRP003,2.61,Km Post,Info missing,22.9141667,91.5434997
LRP003a,2.865,Culvert,Box culvert,22.9157222,91.5451108
LRP003b,3.185,Bridge,Bridge Start,22.9175549,91.5475274
LRP003c,3.204,Bridge,Bridge End,22.9176382,91.5476663
LRP004,3.61,Km Post,Info missing,22.9199716,91.5506111
LRP004a,3.765,Bridge,Baily Bridge Start,22.9213049,91.5508611
LRP004b,3.775,Bridge,Baily Bridge End,22.921416,91.5508889
LRP004c,4.052,Bridge,Bridge Start,22.9238604,91.5513889
LRP004d,4.07,Bridge,Bridge End,22.9239993,91.5514167
LRP004e,4.325,Culvert,Box culvert,22.926166,91.5521111
LRP004f,4.678,Culvert,Box Culvert,22.929416,91.5526944
LRP005,4.72,Km Post,Heako 15 km,22.9298049,91.5528333
LRP005a,5.118,Culvert,Box Culvert,22.929416,91.5585833
LRP006,5.725,Km Post,Km post Broken,22.929166,91.5626667
LRP006a,5.965,Culvert,Box culvert,22.9290549,91.5649722
LRP006b,6.18,Culvert,Box culvert,22.9282771,91.5670271
LRP006c,6.39,Culvert,Box culvert,22.9273882,91.5686382
LRP007,6.725,Km Post,Km post missing,22.9264993,91.5717216
LRP007a,7.345,Culvert,Box culvert,22.9261382,91.5776104
LRP007b,7.53,Culvert,Box culvert,22.9262216,91.5794438
LRP008,7.725,Km Post,Km post missing,22.9264993,91.5814716
LRP008a,7.783,Culvert,Box culvert,22.9265827,91.5819993
LRP008b,8.45,Culvert,Box culvert,22.927416,91.5884441
LRP009,8.725,Km Post,Km post missing,22.927666,91.5912497
LRP010,9.725,Km Post,Km post missing,22.9238882,91.5993052
LRP010a,10.173,Bridge,Baily Bridge Start,22.9225271,91.6021944
LRP010b,10.199,Bridge,Baily Bridge End,22.9226938,91.6023889
LRP010c,10.37,Bridge,Bridge Start,22.9230549,91.6039167
LRP010d,10.399,Bridge,Bridge End,22.9232216,91.6041389
LRP011,10.725,Km Post,Heako 9 km,22.9229716,91.6070833
LRP011a,10.758,Bridge,Bridge Start,22.9230271,91.6073889
LRP011b,10.788,Bridge,Bridge End,22.9230827,91.6076667
LRP011c,11.117,Bridge,Bridge Start,22.922166,91.6105278
LRP011d,11.141,Bridge,Bridge End,22.9222771,91.6107222
LRP011e,11.696,Bridge,Bridge Start,22.9218327,91.6134167
LRP012,11.74,Km Post,Bridge End,22.9215827,91.6137222
LRP013,12.74,Km Post,Km post missing,22.91625,91.6198049
LRP013a,12.899,Bridge,Bridge Start,22.9148611,91.6201104
LRP013b,12.926,Bridge,Bridge End,22.9146667,91.6202493
LRP013c,12.974,Culvert,Box Culvert,22.9144167,91.6206382
LRP013d,13.44,Culvert,Box Culvert,22.91125,91.6226938
LRP013e,13.616,Bridge,Bridge Start,22.9099167,91.6232216
LRP013f,13.66,Bridge,Bridge End,22.9096667,91.6235549
LRP014,13.74,Km Post,Km post missing,22.9090556,91.6239716
LRP014a,14.01,Bridge,Bridge Start,22.9068611,91.6231104
LRP014b,14.037,Bridge,Bridge End,22.9066389,91.6230549
LRP015,14.74,Km Post,Km post missing,22.9050833,91.6285271
LRP015a,14.766,Bridge,Baily Bridge Start,22.9048611,91.628666
LRP015b,14.792,Bridge,Baily Bridge End,22.9047222,91.6288604
LRP015c,15.12,Culvert,Box culvert,22.90275,91.6310827
LRP015d,15.535,Bridge,Baily Bridge Start,22.9024444,91.634833
LRP015e,15.555,Bridge,Baily Bridge End,22.9024444,91.6350274
LRP016,15.675,Km Post,Km post missing,22.9024167,91.6369997
LRP016a,15.695,Bridge,Bridge Start,22.8991386,91.6451941
LRP016b,15.74,Bridge,Bridge End,22.8991663,91.6452774
LRP017,16.74,Km Post,Info missing,22.8993052,91.6458608
LRP017a,16.808,Bridge,Bridge start,22.8975552,91.6462774
LRP017b,16.824,Bridge,Bridge end,22.8974997,91.6463608
LRP018,17.74,Km Post,Km post missing,22.8965552,91.6536389
LRP019,18.74,Km Post,Km post missing,22.8943608,91.6625556
LRP020,19.74,Km Post,Km post missing,22.8916941,91.671416
LRP020a,19.918,Bridge,Bridge Start,22.8921108,91.6730827
LRP020b,19.93,Bridge,Bridge End,22.8921386,91.673166
LRP020c,20.063,"Side Road, Left",R152 Heako to Ramgor,22.8925274,91.6744438
LRP020c,20.063,"Side Road, Left",R152 Heako to Ramgor,22.8925274,91.6744438
LRP020d,20.378,Culvert,Box culvert,22.8904997,91.6766104
LRP021,20.47,Km Post,Km post broken,22.8897219,91.676666
LRP022,21.51,Km Post,Fatikchhari 27 km,22.8818049,91.6814716
LRP022a,22.41,Culvert,Box culvert,22.8773327,91.6882497
LRP023,22.51,Km Post,Fatikchhari 26 km,22.8767771,91.6890274
LRP023a,22.712,Culvert,Box culvert,22.8757216,91.6906108
LRP023b,23.3,Culvert,Pipe Culvert,22.8731938,91.6957219
LRP024,23.52,Km Post,Fatikchhari 25 km,22.8727771,91.6972219
LRP024a,23.754,Bridge,Baily Bridge Start,22.8707216,91.6975552
LRP024b,23.775,Bridge,Baily Bridge End,21.8705549,91.6975274
LRP025,24.52,Km Post,Info missing,22.8646111,91.6988886
LRP025a,24.766,Culvert,Box culvert,22.8626667,91.6997774
LRP025b,25.405,Culvert,Box culvert,22.85775,91.7024444
LRP026,25.52,Km Post,Info missing,22.8565,91.7029167
LRP026a,26.086,Bridge,Bridge Start,22.8529722,91.7060556
LRP026b,26.102,Bridge,Bridge End,22.8528889,91.7060833
LRP027,26.52,Km Post,Fatikchhari 22 km,22.8498052,91.7077778
LRP027a,27.29,Culvert,Box Culvert,22.8447219,91.7118333
LRP027b,27.45,Culvert,Box culvert,22.8441663,91.7131667
LRP028,27.52,Km Post,Fatikchhari 21 km,22.8436108,91.7136111
LRP029,28.52,Km Post,Fatikchhari 20 km,22.8355274,91.7167771
LRP029a,28.953,Bridge,Baily Bridge Start,22.8316938,91.7175271
LRP029b,28.971,Bridge,Baily Bridge End,22.8315549,91.7175827
LRP030,29.52,Km Post,Fatikchhari 19 km,22.8265827,91.7178882
LRP031,30.505,Km Post,Fatikchhari 18 km,22.8178327,91.7190549
LRP031a,30.721,Culvert,Box culvert,22.8159722,91.7189716
LRP031b,31.262,Bridge,Baily Bridge Start,22.8119722,91.7187493
LRP031c,31.303,Bridge,Baily Bridge End,22.8116944,91.7185827
LRP031d,31.339,"Side Road, Right","Z 1021,Mirersari-Fatikchari road",22.8114167,91.7183327
LRP032,31.505,Km Post,Fatikchhari 17 km,22.8099444,91.5016111
LRP032a,31.671,Culvert,Box culvert,22.8089444,91.7180271
LRP032b,32.083,Culvert,Box culvert,22.8048056,91.7181382
LRP033,32.515,Km Post,Fatikchhari 16 km,22.8011389,91.7191104
LRP033a,32.635,Bridge,Bridge Start,22.8000833,91.719166
LRP033b,32.692,Bridge,Bridge End,22.799583,91.7191104
LRP034,33.515,Km Post,Fatikchhari 15 km,22.7924719,91.7188604
LRP034a,33.526,Bridge,Bridge Start,22.7923886,91.7187771
LRP034b,33.54,Bridge,Bridge End,22.7922774,91.7187493
LRP034c,33.927,Culvert,Box culvert,22.789083,91.7186382
LRP034d,34.175,Bridge,Baily Bridge Start,22.7871108,91.7194716
LRP034e,34.208,Bridge,Baily Bridge End,22.7869441,91.7197216
LRP035,34.621,Km Post,Km post broken,22.7875552,91.7224993
LRP036,35.625,Km Post,Fatikchhari 13 km,22.7800549,91.7266104
LRP037,36.642,Km Post,Fatikchhari 12 km,22.7720549,91.7293049
LRP037a,37.148,Culvert,Box culvert,22.7662222,91.7298327
LRP037b,37.382,Culvert,Box culvert,22.76525,91.7311938
LRP038,37.52,Km Post,Fatikchhari 11 km,22.7646667,91.7324438
LRP038a,37.568,Culvert,Box Culvert,22.7643889,91.7328049
LRP038b,37.685,Culvert,Box culvert,22.7634444,91.7331104
LRP038c,38.178,Culvert,Box culvert,22.7593611,91.7344719
LRP039,38.5,Km Post,Fatikchhari 10 km,22.7564722,91.7349719
LRP039a,39.098,Culvert,Box culvert,22.7518889,91.7367219
LRP040,39.5,Km Post,Fatikchhari 9 km,22.7487219,91.7381108
LRP040a,40.0,Culvert,Box culvert,22.7480274,91.7422497
LRP041,40.485,Km Post,Fatikchhari 9 km,22.7469441,91.7461663
LRP041a,40.577,Culvert,Box culvert,22.7469441,91.7461663
LRP041b,40.718,Culvert,Box Culvert,22.7463886,91.7481386
LRP042,41.642,Km Post,Fatikchhari 7 km,22.7422497,91.7531944
LRP042a,41.712,Culvert,Box culvert,22.7419163,91.7543056
LRP042b,41.805,Culvert,Box Culvert,22.7404441,91.75525
LRP042c,41.966,Culvert,Box Culvert,22.7400552,91.7567222
LRP042d,42.212,Culvert,Box Culvert,22.738083,91.7575556
LRP043,42.721,Km Post,Fatikchhari 6 km,22.7368052,91.7580556
LRP043a,42.792,Culvert,Box Culvert,22.7353608,91.7587778
LRP043b,42.894,Culvert,Box Culvert,22.7341108,91.7598056
LRP043c,43.126,Culvert,Box Culvert,22.7319993,91.7603889
LRP043d,43.294,Culvert,Box Culvert,22.7303327,91.7607222
LRP044,43.684,Km Post,Fatikchhari 5 km,22.7282216,91.7606111
LRP044a,44.045,Bridge,Bridge Start,22.7238327,91.7615833
LRP044b,44.099,Bridge,Bridge End,22.7233882,91.7618056
LRP044c,44.312,Culvert,Box Culvert,22.7217216,91.7620833
LRP044d,44.502,Culvert,Box Culvert,22.7205827,91.7629722
LRP045,44.702,Km Post,Fatikchhari 4 km,22.7199993,91.7631111
LRP045a,44.798,Culvert,Box Culvert,22.718666,91.7636944
LRP045b,45.325,Culvert,Box Culvert,22.7151111,91.7670827
LRP046,45.667,Km Post,Fatikchhari 3 km,22.7136389,91.7684716
LRP046a,46.704,Culvert,Box Culvert,22.7136944,91.7778327
LRP047,46.804,Km Post,Fatikchhari 2 km,22.7135,91.7778882
LRP047a,47.194,"Side Road, Left","Side road Z 1086 (Sitakunda,Fatikchhari road",22.7078333,91.7831104
LRP048,47.622,Km Post,Fatikchhari 1 km,22.7081944,91.7840274
LRPE,47.702,Others,"The road end Intersecting R160 at Hadchokia ,Fatikchhari",22.7082222,91.784083
,,,,,
,,,,,
LRPS,0.0,Others,"Road start from R151 (Baraiyerhat, Haidchokia Road Heako Bazar, Vugpur.",22.8924997,91.6744993
LRPsa,0.13,Bridge,Bridge Start,22.8929441,91.6756382
LRPSb,0.144,Bridge,Bridge End,22.8929997,91.6757216
LRP001,0.55,Km Post,Ramgarh 17 km,22.8958052,91.6773882
LRP002,1.55,Km Post,Km post missing,22.9046389,91.6770827
LRP003,2.55,Km Post,Km post missing,22.9134722,91.6784438
LRP003a,3.165,Culvert,Box Culvert,22.9185827,91.6766938
LRP004,3.55,Km Post,Km post missing,22.9218604,91.6756104
LRP005,4.55,Km Post,Km post missing,22.9300549,91.6720827
LRP006,5.55,Km Post,Km post missing,22.9387774,91.6717771
LRP006a,5.915,Culvert,Box culvert,22.9418608,91.6720549
LRP007,6.55,Km Post,Km post missing,22.9457219,91.6743049
LRP007a,7.177,Culvert,Box Culvert,22.9462774,91.679916
LRP007b,7.203,Bridge,Bridge end,22.9464163,91.6800271
LRP008,7.55,Km Post,Km post missing,22.948083,91.6821382
LRP008a,7.692,Bridge,Bridge Start,22.9492497,91.6823882
LRP008b,7.707,Bridge,Bridge End,22.949333,91.6823604
LRP008c,8.375,Bridge,Bridge start,22.9546111,91.6834441
LRP008d,8.389,Bridge,Bridge end,22.9546389,91.6834719
LRP009,8.55,Km Post,Km post missing,22.9559722,91.6843608
LRP010,9.55,Km Post,Km post missing,22.9618056,91.6901108
LRP010a,9.92,Bridge,Bridge Start,22.9645833,91.6918886
LRP010b,9.945,Bridge,Bridge End,22.9646667,91.692083
LRP010c,10.327,Bridge,Bridge Start,22.9645278,91.6956386
LRP010d,10.343,Bridge,Bridge End,22.9645833,91.6957774
LRP011,10.53,Km Post,Info missing,22.9649722,91.697583
LRP011a,11.34,Culvert,Box Culvert,22.96575,91.7028056
LRP012,11.53,Km Post,Km post missing,22.9670549,91.7043333
LRP012a,12.32,Culvert,Box Culvert,22.9724716,91.7070556
LRP013,12.53,Km Post,Km post missing,22.9743882,91.7076111
LRP013a,12.59,Bridge,Bridge Start,22.974916,91.7076667
LRP013b,12.606,Bridge,Bridge End,22.9750549,91.7076944
LRP014,13.53,Km Post,Km post missing,22.9809716,91.7084722
LRP014a,13.546,Bridge,Bridge Start,22.9809993,91.7086389
LRP014b,13.581,Bridge,Bridge End,22.9811104,91.7089167
LRP014c,14.243,Culvert,Box Culvert,22.9827771,91.7149167
LRP015,14.604,Km Post,Ramgarh 3 km,22.9821382,91.7177771
LRP015a,14.73,Bridge,Bridge Start/Start of Khagrachari Division,22.9823049,91.7194438
LRP015a,14.73,Bridge,Bridge Start/Start of Khagrachari Division,22.9823049,91.7194438
LRP015b,14.769,Bridge,Bridge End,22.9826104,91.719666
LRP015c,15.124,Culvert,Box Culvert,22.9857219,91.7214716
LRP015d,15.482,Culvert,Slab Culvert,22.987833,91.7228049
LRP016,15.604,Km Post,Km post missing,22.9886386,91.7232771
LRP016a,15.618,Culvert,Box Culvert,22.9891386,91.7236382
LRP017,16.665,Km Post,Ramgarh 1 km,22.9969997,91.7262216
LRP017a,17.651,Others,Ramgarh Bazar,22.9994997,91.7349997
LRP018,17.665,Km Post,Km post missing,0.0,0.0
LRP019,18.655,Km Post,Jaliapara 18 km,22.9919441,91.7404441
LRP019a,19.616,Bridge,Bridge start,22.9884441,91.7471663
LRP019b,19.629,Bridge,Bridge end,22.9884163,91.7472774
LRP020,19.636,Km Post,Jaliapara 17 km,22.9883608,91.7473052
LRP020a,20.564,Bridge,Bridge start,22.9847219,91.7527778
LRP020b,20.577,Bridge,Bridge end,22.9846386,91.7528333
LRP021,20.636,Km Post,Jaliapara 16 km,22.9844719,91.7530556
LRP021a,21.039,Culvert,Box Culvert,22.9839441,91.7570833
LRP021b,21.296,Bridge,Bridge start,22.9830271,91.7589167
LRP021c,21.313,Bridge,Bridge end,22.9829993,91.7592222
LRP022,21.636,Km Post,Jaliapara 15 km,22.9826382,91.7622778
LRP022a,22.382,Bridge,Bridge start,22.9827216,91.7678604
LRP022b,22.397,Bridge,Bridge end,22.9824716,91.767916
LRP023,22.621,Km Post,Jaliapara 14 km,22.9818882,91.7685549
LRP024,23.641,Km Post,Jaliapara 13 km,22.9780549,91.7774993
LRP025,24.641,Km Post,Jaliapara 12 km,22.971666,91.7827493
LRP026,25.641,Km Post,Jaliapara 11 km,22.9670549,91.7891386
LRP026a,26.148,Bridge,Bridge start,22.9661667,91.793083
LRP026b,26.177,Bridge,Bridge end,22.9661111,91.7933608
LRP027,26.641,Km Post,Jaliapara 10 km,22.9648611,91.7976663
LRP028,27.641,Km Post,Jaliapara 9 km,22.9634444,91.8130556
LRP029,28.621,Km Post,Jaliapara 8 km,22.9632222,91.8105278
LRP029a,28.633,Bridge,Bridge start,22.9631667,91.8105556
LRP029b,28.663,Bridge,Bridge end,22.9631111,91.8105833
LRP030,29.671,Km Post,Jaliapara 7 km,22.9598333,91.8181938
LRP031,30.671,Km Post,Jaliapara 6 km,22.9578611,91.8263604
LRP032,31.661,Km Post,Jaliapara 5 km,22.9539444,91.8329993
LRP032a,31.733,Bridge,Bridge start,22.9540278,91.8353886
LRP032b,31.749,Bridge,Bridge end,22.9541389,91.8355552
LRP032c,32.343,Bridge,Bridge start,22.9546667,91.8391941
LRP032d,32.36,Bridge,Bridge end,22.9530278,91.8392774
LRP033,32.661,Km Post,Jaliapara 4 km,22.9542778,91.8413052
LRP034,33.661,Km Post,Jaliapara 3 km,22.9536944,91.844583
LRP035,34.651,Km Post,Jaliapara 2 km,22.9460274,91.8480274
